x,y,u,v,movement_distance,safe_margin_checked,worst_diameter,worst_source_x,worst_source_y,worst_epsilon_deg,worst_bearing_deg,worst_crossing_angle_deg,worst_status,normal_scenarios,optical_scenarios,unique_q1_calls,stage
804.608537073296,-600.4285561376299,804.608537073296,-600.4285561376299,1003.9468855256978,0.0028608662059923518,134.06654802385444,1499.771542734587,-26.178609655925268,-1.0,38.558926009982265,40.55892600998226,VALID_POLYGON,1134,0,1134,refine_0.1m
804.608537073296,-600.4285561376299,804.608537073296,-600.4285561376299,1003.9468855256978,0.0028608662059923518,134.06654802385444,1499.771542734587,-26.178609655925268,-1.0,38.558926009982265,40.55892600998226,VALID_POLYGON,7497,0,7497,final_check
804.608537073296,-600.4285561376299,804.608537073296,-600.4285561376299,1003.9468855256978,0.0028608662059923518,134.06654802385444,1499.771542734587,-26.178609655925268,-1.0,38.558926009982265,40.55892600998226,VALID_POLYGON,53792,0,53792,verification
804.608537073296,600.4285561376299,804.608537073296,600.4285561376299,1003.9468855256978,0.0028608662059923518,134.06654802385484,1499.771542734587,26.178609655925268,1.0,321.44107399001774,40.55892600998226,VALID_POLYGON,1134,0,1134,refine_0.1m
804.608537073296,600.4285561376299,804.608537073296,600.4285561376299,1003.9468855256978,0.0028608662059923518,134.06654802385484,1499.771542734587,26.178609655925268,1.0,321.44107399001774,40.55892600998226,VALID_POLYGON,7497,0,7497,final_check
804.608537073296,600.4285561376299,804.608537073296,600.4285561376299,1003.9468855256978,0.0028608662059923518,134.06654802385484,1499.771542734587,26.178609655925268,1.0,321.44107399001774,40.55892600998226,VALID_POLYGON,53792,0,53792,verification
804.908537073296,-600.02855613763,804.908537073296,-600.02855613763,1003.9482164106287,0.003059404482428363,134.06655521871227,1499.771542734587,-26.178609655925268,-1.0,38.55146660885636,40.55146660885637,VALID_POLYGON,1134,0,1134,refine_0.5m
804.908537073296,-600.02855613763,804.908537073296,-600.02855613763,1003.9482164106287,0.003059404482428363,134.06655521871227,1499.771542734587,-26.178609655925268,-1.0,38.55146660885636,40.55146660885637,VALID_POLYGON,1134,0,1134,refine_0.1m
804.908537073296,-600.02855613763,804.908537073296,-600.02855613763,1003.9482164106287,0.003059404482428363,134.06655521871227,1499.771542734587,-26.178609655925268,-1.0,38.55146660885636,40.55146660885637,VALID_POLYGON,7497,0,7497,final_check
804.908537073296,-600.02855613763,804.908537073296,-600.02855613763,1003.9482164106287,0.003059404482428363,134.06655521871227,1499.771542734587,-26.178609655925268,-1.0,38.55146660885636,40.55146660885637,VALID_POLYGON,53792,0,53792,verification
804.908537073296,600.02855613763,804.908537073296,600.02855613763,1003.9482164106287,0.003059404482428363,134.06655521871267,1499.771542734587,26.178609655925268,1.0,321.44853339114366,40.55146660885637,VALID_POLYGON,1134,0,1134,refine_0.5m
804.908537073296,600.02855613763,804.908537073296,600.02855613763,1003.9482164106287,0.003059404482428363,134.06655521871267,1499.771542734587,26.178609655925268,1.0,321.44853339114366,40.55146660885637,VALID_POLYGON,1134,0,1134,refine_0.1m
804.908537073296,600.02855613763,804.908537073296,600.02855613763,1003.9482164106287,0.003059404482428363,134.06655521871267,1499.771542734587,26.178609655925268,1.0,321.44853339114366,40.55146660885637,VALID_POLYGON,7497,0,7497,final_check
804.908537073296,600.02855613763,804.908537073296,600.02855613763,1003.9482164106287,0.003059404482428363,134.06655521871267,1499.771542734587,26.178609655925268,1.0,321.44853339114366,40.55146660885637,VALID_POLYGON,53792,0,53792,verification
805.2085370732959,-599.62855613763,805.2085370732959,-599.62855613763,1003.9497963102618,0.00300794201507415,134.0665923774257,1499.771542734587,-26.178609655925268,-1.0,38.543999157446216,40.543999157446216,VALID_POLYGON,1134,0,1134,refine_0.1m
805.2085370732959,-599.62855613763,805.2085370732959,-599.62855613763,1003.9497963102618,0.00300794201507415,134.0665923774257,1499.771542734587,-26.178609655925268,-1.0,38.543999157446216,40.543999157446216,VALID_POLYGON,7497,0,7497,final_check
805.2085370732959,599.62855613763,805.2085370732959,599.62855613763,1003.9497963102618,0.00300794201507415,134.06659237742633,1499.771542734587,26.178609655925268,1.0,321.4560008425538,40.543999157446216,VALID_POLYGON,1134,0,1134,refine_0.1m
805.2085370732959,599.62855613763,805.2085370732959,599.62855613763,1003.9497963102618,0.00300794201507415,134.06659237742633,1499.771542734587,26.178609655925268,1.0,321.4560008425538,40.543999157446216,VALID_POLYGON,7497,0,7497,final_check
806.108537073296,598.4285561376299,806.108537073296,598.4285561376299,1003.9560300846935,0.00135355147313021,134.06688428135737,1499.771542734587,26.178609655925268,1.0,321.4784516264713,40.5215483735287,VALID_POLYGON,1134,0,1134,refine_0.1m
806.108537073296,598.4285561376299,806.108537073296,598.4285561376299,1003.9560300846935,0.00135355147313021,134.06688428135737,1499.771542734587,26.178609655925268,1.0,321.4784516264713,40.5215483735287,VALID_POLYGON,7497,0,7497,final_check
806.108537073296,-598.4285561376299,806.108537073296,-598.4285561376299,1003.9560300846935,0.00135355147313021,134.066884281358,1499.771542734587,-26.178609655925268,-1.0,38.52154837352869,40.5215483735287,VALID_POLYGON,1134,0,1134,refine_0.1m
806.108537073296,-598.4285561376299,806.108537073296,-598.4285561376299,1003.9560300846935,0.00135355147313021,134.066884281358,1499.771542734587,-26.178609655925268,-1.0,38.52154837352869,40.5215483735287,VALID_POLYGON,7497,0,7497,final_check
806.408537073296,598.02855613763,806.408537073296,598.02855613763,1003.9586060295273,0.0003020882915052425,134.0670419410929,1499.771542734587,26.178609655925268,1.0,321.485951407133,40.514048592867034,VALID_POLYGON,1134,0,1134,refine_0.5m
806.408537073296,598.02855613763,806.408537073296,598.02855613763,1003.9586060295273,0.0003020882915052425,134.0670419410929,1499.771542734587,26.178609655925268,1.0,321.485951407133,40.514048592867034,VALID_POLYGON,1134,0,1134,refine_0.1m
806.408537073296,598.02855613763,806.408537073296,598.02855613763,1003.9586060295273,0.0003020882915052425,134.0670419410929,1499.771542734587,26.178609655925268,1.0,321.485951407133,40.514048592867034,VALID_POLYGON,7497,0,7497,final_check
806.408537073296,-598.02855613763,806.408537073296,-598.02855613763,1003.9586060295273,0.0003020882915052425,134.0670419410931,1499.771542734587,-26.178609655925268,-1.0,38.514048592867034,40.514048592867034,VALID_POLYGON,1134,0,1134,refine_0.5m
806.408537073296,-598.02855613763,806.408537073296,-598.02855613763,1003.9586060295273,0.0003020882915052425,134.0670419410931,1499.771542734587,-26.178609655925268,-1.0,38.514048592867034,40.514048592867034,VALID_POLYGON,1134,0,1134,refine_0.1m
806.408537073296,-598.02855613763,806.408537073296,-598.02855613763,1003.9586060295273,0.0003020882915052425,134.0670419410931,1499.771542734587,-26.178609655925268,-1.0,38.514048592867034,40.514048592867034,VALID_POLYGON,7497,0,7497,final_check
804.508537073296,-600.52855613763,804.508537073296,-600.52855613763,1003.9265575531715,0.02276046917597796,134.07114668963487,1499.771542734587,-26.178609655925268,-1.0,38.55977799055145,40.55977799055147,VALID_POLYGON,1134,0,1134,refine_0.1m
804.508537073296,600.52855613763,804.508537073296,600.52855613763,1003.9265575531715,0.02276046917597796,134.07114668963612,1499.771542734587,26.178609655925268,1.0,321.4402220094486,40.55977799055147,VALID_POLYGON,1134,0,1134,refine_0.1m
804.808537073296,-600.12855613763,804.808537073296,-600.12855613763,1003.9278187389247,0.02302901301300153,134.071148791278,1499.771542734587,-26.178609655925268,-1.0,38.55232021397312,40.552320213973125,VALID_POLYGON,1134,0,1134,refine_0.1m
804.808537073296,600.12855613763,804.808537073296,600.12855613763,1003.9278187389247,0.02302901301300153,134.071148791278,1499.771542734587,26.178609655925268,1.0,321.44767978602687,40.552320213973125,VALID_POLYGON,1134,0,1134,refine_0.1m
805.108537073296,599.72855613763,805.108537073296,599.72855613763,1003.9293289446371,0.023047551128684063,134.07118084438912,1499.771542734587,26.178609655925268,1.0,321.4551456099074,40.54485439009262,VALID_POLYGON,1134,0,1134,refine_0.1m
805.108537073296,-599.72855613763,805.108537073296,-599.72855613763,1003.9293289446371,0.023047551128684063,134.07118084438974,1499.771542734587,-26.178609655925268,-1.0,38.54485439009262,40.54485439009262,VALID_POLYGON,1134,0,1134,refine_0.1m
806.008537073296,598.52855613763,806.008537073296,598.52855613763,1003.935353669364,0.021603131947586007,134.07145735679103,1499.771542734587,26.178609655925268,1.0,321.4775914932769,40.5224085067231,VALID_POLYGON,1134,0,1134,refine_0.1m
