策略,直观做法,第二点相对坐标_米,最坏定位直径_米,与本文方案相比
距离优先,尽量靠近全部可能源,"(752.6, 0.0)",无法限定（无界）,本文方案可形成有限定位区域
交会角优先,尽量避免两次方向共线,"(670.7, -746.1)",139.553,本文方案缩小5.486 m（降低3.93%）
本文方案,最坏定位直径最小,"(804.6, -600.4)",134.067,基准
